name;bool_val
Нерехта;1
Нея;1
Островское;1
Павино;1
Парфентьево;1
Поназырево;1
Солигалич;1
Судиславль;1
Сусанино;1
Чухлома;1
Шарья;1
Шемятино;1
Абинск;1
Абрау-Дюрсо;1
Анапа;1
Апшеронск;1
Армавир;1
Архипо-Осиповка;1
Афипский;1
Ахтырский;1
Ачуево;1
Белореченск;1
Верхнебаканский;1
Выселки;1
Геленджик;1
Гиагинская;1
Горячий Ключ;1
Джубга;1
Динская;1
Ейск;1
Ильский;1
Кабардинка;1
Калинино;1
Калининская;1
Каменномостский;1
Каневская;1
Кореновск;1
Красноармейская;1
Краснодар;1
Кропоткин;1
Крыловская;1
Крымск;1
Курганинск;1
Кущевская;1
Лабинск;1
Лениградская;1
Майкоп;1
Мостовской;1
Новороссийск;1
Отрадная;1
Павловская;1
Приморско-Ахтарск;1
Северская;1
Славянск-на-Кубани;1
Сочи;1
Староминская;1
Старощербиновская;1
Тбилисская;1
Темрюк;1
Тимашевск;1
Тихорецк;1
Туапсе;1
Тульский;1
Усть-Лабинск;1
Шовгеновский;1
 Железногорск;0
Абаза;0
Абакан;0
Абан;0
Агинское;0
Артемовск;0
Аскиз;0
Ачинск;0
Байкит;0
Балахта;0
Балыкса;0
Белый Яр;0
Бельтырский;0
Бея;0
Бискамжа;0
Боготол;0
Боград;0
Богучаны;0
Большая Мурта;0
Большой Улуй;0
Бородино;0
Ванавара;0
Верхнеимбатск;0
Горячегорск;0
Дзержинское;0
Дивногорск;0
Диксон;0
Дудинка;0
Емельяново;0
Енисейск;0
Ермаковское;0
Заозерный;0
Зеленогорск;0
Игарка;0
Идринское;0
Иланский;0
Ирбейское;0
Казачинское;0
Канск;0
Каратузское;0
Караул;0
Кежма;0
Кодинск;0
Козулька;0
Копьево;0
Краснотуранск;0
Красноярск;0
Курагино;0
Лесосибирск;0
Минусинск;0
Мотыгино;0
Назарово;0
Нижний Ингаш;0
Новоселово;0
Норильск;0
Партизанское;0
Пировское;0
Саяногорск;0
Северо-Енисейский;0
Сосновоборск;0
Тасеево;0
Таштып;0
Тура;0
Туруханск;0
Тюхтет;0
Ужур;0
Усть-Авам;0
Уяр;0
Хатанга;0
Черемушки;0
Черногорск;0
Шалинское;0
Шарыпово;0
Шира;0
Шушенское;0
Варгаши;1
Глядянское;1
Далматово;1
Каргаполье;1
Катайск;1
Кетово;1
Курган;1
Куртамыш;1
Лебяжье;1
Макушино;1
Мишкино;1
Мокроусово;1
Петухово;1
Половинное;1
Сафакулево;1
Целинное;1
